Stock Name,ROE,YOY Earnings (Quarterly),Dept to Equtity Ratio,,,
"Agilent Technologies, Inc. (A)",12.19%,38.8%,46.33,35.68,,
American Airlines Group Inc. (AAL),56.81%,-91.2%,643.17,103.78,,
"Advance Auto Parts, Inc. (AAP)",17.1%,13.8%,36.22,33.73,,
Apple Inc. (AAPL),34.69%,-2.6%,66.38,73.8,,
AbbVie Inc. (ABBV),138.75%,-8.3%,794.69,23.72,,
AmerisourceBergen Corporation (ABC),78.76%,-25%,211.64,38.2,,
Abbott Laboratories (ABT),N/A,32.6%,106.22,24.7,,
Accenture plc (ACN),50.39%,-36.8%,0.32,16.45,,
Adobe Systems Incorporated (ADBE),17.9%,56.7%,24.83,52.05,,
"Analog Devices, Inc. (ADI)",17.75%,32%,71.71,61.47,,
Archer-Daniels-Midland Company (ADM),7.33%,-40.9%,40.28,29.41,,
"Automatic Data Processing, Inc. (ADP)",42.24%,49.6%,52.49,25.27,,
Alliance Data Systems Corporation (ADS),30.64%,-6.8%,1516,43.9,,
"Autodesk, Inc. (ADSK)",-49.47%,N/A,203.2,93.3,,
Ameren Corporation (AEE),9.2%,10.3%,108.13,22.18,,
"American Electric Power Company, Inc. (AEP)",3.51%,-20.5%,127.87,23.2,,
The AES Corporation (AES),6.2%,N/A,355.26,26.98,,
Aetna Inc. (AET),13.22%,-56.5%,115.15,38.51,,
Aflac Incorporated (AFL),13.92%,2.9%,28.74,15.61,,
Allergan plc (AGN),-1.22%,N/A,43,41.61,,
"American International Group, Inc. (AIG)",-0.31%,N/A,40.22,39.37,,
Apartment Investment and Management Company (AIV),24.78%,136%,189.82,22.41,,
"Assurant, Inc. (AIZ)",13.11%,-52.4%,26.04,35.06,,
Arthur J. Gallagher & Co. (AJG),12.12%,52.6%,77.91,31.71,,
"Akamai Technologies, Inc. (AKAM)",9.96%,3.6%,19.85,49.87,,
Albemarle Corporation (ALB),13.03%,245.5%,60.09,51.62,,
"Alaska Air Group, Inc. (ALK)",30.47%,-40.3%,101.3,86.08,,
The Allstate Corporation (ALL),9.25%,71.8%,30.85,31.81,,
Allegion plc (ALLE),316.5%,4%,1257.9,33.4,,
"Alexion Pharmaceuticals, Inc. (ALXN)",4.71%,39.6%,37.82,43.9,,
"Applied Materials, Inc. (AMAT)",28.78%,145.8%,43.26,123.57,,
"AMETEK, Inc. (AME)",15.73%,-20.3%,71.9,40.23,,
"Affiliated Managers Group, Inc. (AMG)",15.59%,2.8%,41.37,36.24,,
Amgen Inc. (AMGN),26.65%,7.5%,115.8,37.84,,
"Ameriprise Financial, Inc. (AMP)",17.91%,12%,101.96,59.21,,
American Tower Corporation (AMT),13.13%,-1.5%,229.73,29.52,,
"Amazon.com, Inc. (AMZN)",14.52%,55.4%,105.85,41.15,,
"AutoNation, Inc. (AN)",N/A,2.3%,284.37,N/A,,
"Anthem, Inc. (ANTM)",10.26%,103.6%,66.95,60.6,,
Aon plc (AON),24.67%,-14%,112.17,24.68,,
Apache Corporation (APA),-14.44%,N/A,111.26,49.71,,
Anadarko Petroleum Corporation (APC),-18.14%,N/A,107.76,54.87,,
"Air Products and Chemicals, Inc. (APD)",20.55%,-17.5%,59.68,22.68,,
Amphenol Corporation (APH),23.78%,17.6%,80.86,34.24,,
Arconic Inc. (ARNC),N/A,1912.5%,147.28,83.22,,
"Activision Blizzard, Inc. (ATVI)",11.24%,59.1%,53.59,60.11,,
"AvalonBay Communities, Inc. (AVB)",10.32%,55.9%,69.44,22.23,,
Broadcom Limited (AVGO),-13.78%,-36.6%,61.62,69.07,,
Avery Dennison Corporation (AVY),33.92%,8.8%,139.65,23.3,,
"American Water Works Company, Inc. (AWK)",9.12%,2%,137.64,22.81,,
American Express Company (AXP),26.27%,-8.2%,267.43,43.48,,
"Acuity Brands, Inc. (AYI)",18.55%,2.7%,19.73,65.69,,
"AutoZone, Inc. (AZO)",N/A,3.7%,N/A,20.52,,
The Boeing Company (BA),134.59%,59%,1134.78,53.01,,
Bank of America Corporation (BAC),7.27%,81.2%,N/A,114.11,,
Baxter International Inc. (BAX),57.93%,18.5%,33.6,33.82,,
Bed Bath & Beyond Inc. (BBBY),25.96%,-11.5%,54.85,36.09,,
BB&T Corporation (BBT),7.89%,-25.4%,N/A,51.84,,
"Best Buy Co., Inc. (BBY)",26.57%,26.7%,28.99,83.14,,
"C. R. Bard, Inc. (BCR)",33.95%,17.1%,98.01,51.82,,
"Becton, Dickinson and Company (BDX)",17.68%,145.4%,145.29,16.37,,
"Franklin Resources, Inc. (BEN)",13.41%,-1.7%,13.25,45.12,,
(BF.B),N/A,N/A,N/A,N/A,,
Baker Hughes Incorporated (BHI),N/A,N/A,N/A,64.33,,
Biogen Inc. (BIIB),34.37%,-21.9%,53.74,49.61,,
The Bank of New York Mellon Corporation (BK),9.3%,12.9%,N/A,38.69,,
"BlackRock, Inc. (BLK)",N/A,31.2%,111.46,25.77,,
Ball Corporation (BLL),11.08%,-3.6%,212.71,21.82,,
Bristol-Myers Squibb Company (BMY),29.29%,N/A,41.05,67.62,,
(BRK.B),N/A,N/A,N/A,N/A,,
Boston Scientific Corporation (BSX),5.32%,N/A,81.45,35.69,,
BorgWarner Inc. (BWA),4.62%,N/A,67.22,60.76,,
"Boston Properties, Inc. (BXP)",5.92%,-45.9%,124.79,26.68,,
Citigroup Inc. (C),6.83%,16.8%,N/A,63.22,,
"CA, Inc. (CA)",14.61%,-6.7%,37.46,16.59,,
"Conagra Brands, Inc. (CAG)",15.95%,-12.2%,69.1,45.37,,
"Cardinal Health, Inc. (CAH)",20.37%,-0.6%,84.6,36.4,,
Caterpillar Inc. (CAT),-0.42%,N/A,278.39,53.51,,
Chubb Limited (CB),10.68%,135.7%,32.97,16.08,,
"CBRE Group, Inc. (CBG)",20.08%,46.6%,124.82,52.68,,
"CBOE Holdings, Inc. (CBOE)",62.94%,-9.8%,N/A,40.11,,
CBS Corporation (CBS),33.55%,N/A,254.13,43.41,,
Crown Castle International Corp. (CCI),5.9%,149%,183.24,29.53,,
Carnival Corporation (CCL),13.2%,147.9%,40.26,47.67,,
Celgene Corporation (CELG),31.94%,-23.5%,216.53,35.18,,
Cerner Corporation (CERN),16.32%,-9.9%,14.35,43.59,,
"CF Industries Holdings, Inc. (CF)",-2.91%,N/A,89,78.96,,
"Citizens Financial Group, Inc. (CFG)",5.74%,43.5%,N/A,116.74,,
"Church & Dwight Co., Inc. (CHD)",22.94%,1.2%,56.64,26.13,,
